submission_id,distractor,startDate,utterance_cat,reaction_time1,pos2,experiment_id,trial_type,selectedItem2,enjoyment,selectedItem1,reaction_time_prior,pos3,contrast,condition,endTime,refObject,pos1,selectedItem_prior,target,age,comments,context_id,reaction_time2,HitCorrect,languages,RT,pos4,gender,trial_number,startTime,timeSpent,comp,utterance
7985,black_feather,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),NaN,NaN,comp,62,practice,NaN,2,NaN,NaN,distractor,yellow_lamp,contrast_not_present,1562801843068,target,contrast,NaN,red_bellpepper,24,This is one more test.,NaN,NaN,1,english,3367,target,female,1,1562801544850,4.9703,red_book,sdgf
7985,orange_butterfly,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),NaN,NaN,comp,62,practice,NaN,2,NaN,NaN,contrast,red_jacket,contrast_present,1562801843068,target,distractor,NaN,yellow_jacket,24,This is one more test.,NaN,NaN,1,english,484,target,female,2,1562801544850,4.9703,yellow_bike,sdfg
7985,green_scissors,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),NaN,NaN,comp,62,practice,NaN,2,NaN,NaN,target,purple_flower,contrast_present,1562801843068,target,distractor,NaN,red_flower,24,This is one more test.,NaN,NaN,1,english,427,contrast,female,3,1562801544850,4.9703,red_candle,sfg
7985,orange_mug,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),NaN,NaN,contrast,62,practice,NaN,2,NaN,NaN,comp,light_chair,contrast_not_present,1562801843068,target,distractor,NaN,green_scissors,24,This is one more test.,NaN,NaN,1,english,1341,target,female,4,1562801544850,4.9703,green_toothbrush,ssdfg
7985,white_pumpkin,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),modified,814,comp,62,critical,red_corn,2,red_strawberry,1807,target,green_broccoli,atn,1562801843068,target,contrast,green_broccoli,red_corn,24,This is one more test.,red_atn_corn,1204,1,english,5697,distractor,female,1,1562801544850,4.9703,red_strawberry,red corn
7985,white_tomato,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),modified,669,contrast,62,critical,green_lettuce,2,green_lettuce,851,distractor,orange_lettuce,ttp,1562801843068,target,comp,orange_lettuce,green_lettuce,24,This is one more test.,green_ttp_lettuce,675,1,english,4500,target,female,2,1562801544850,4.9703,green_broccoli,green lettuce
7985,orange_carrot,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),modified,1295,comp,62,filler,green_broccoli,2,green_broccoli,965,distractor,green_broccoli,atp,1562801843068,contrast,target,red_broccoli,red_broccoli,24,This is one more test.,red_atp_broccoli,662,1,english,5985,contrast,female,3,1562801544850,4.9703,red_strawberry,green broccoli
7985,orange_carrot,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),unmodified,1081,distractor,62,filler,NaN,2,orange_carrot,756,comp,yellow_egg,tan,1562801843068,distractor,contrast,orange_carrot,red_tomato,24,This is one more test.,red_tan_tomato,NaN,1,english,3355,target,female,4,1562801544850,4.9703,red_corn,carrot
7985,orange_pumpkin,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),modified,824,comp,62,critical,red_corn,2,red_tomato,796,target,yellow_corn,atp,1562801843068,target,distractor,orange_pumpkin,red_corn,24,This is one more test.,red_atp_corn,960,1,english,4589,contrast,female,5,1562801544850,4.9703,red_tomato,red corn
7985,orange_pumpkin,Wed Jul 10 2019 16:32:24 GMT-0700 (Pacific Daylight Time),modified,733,target,62,filler,green_swan,2,green_swan,860,distractor,yellow_strawberry,aan,1562801843068,comp,comp,green_carrot,green_carrot,24,This is one more test.,green_aan_carrot,3163,1,english,7720,contrast,female,6,1562801544850,4.9703,green_swan,green swan
