"HitCorrect","age","botresponse","comments","education","endTime","enjoyment","gender","languages","question","slider_val","startDate","startTime","timeSpent","trial_number","anon_worker_id"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","blue_sponge",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,1,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","white_egg",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,2,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_broccoli",18,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,3,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","white_pumpkin",24,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,4,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","yellow_jacket",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,5,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","orange_banana",50,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,6,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_soap",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,7,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","yellow_corn",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,8,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","orange_mug",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,9,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","black_feather",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,10,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","white_carrot",14,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,11,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","white_swan",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,12,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","yellow_snowman",28,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,13,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","green_toothbrush",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,14,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","orange_balloon",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,15,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","green_carrot",6,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,16,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","light_chair",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,17,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","yellow_lamp",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,18,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_bellpepper",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,19,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_book",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,20,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","white_snowman",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,21,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","green_broccoli",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,22,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","yellow_bicycle",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,23,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_table",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,24,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","green_lettuce",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,25,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","white_tomato",12,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,26,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_strawberry",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,27,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","whitebrown_horse",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,28,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","yellow_egg",26,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,29,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","yellow_strawberry",13,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,30,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","orange_carrot",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,31,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_pumpkin",26,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,32,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","orange_butterfly",83,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,33,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","green_scissors",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,34,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_flower",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,35,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","green_corn",20,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,36,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","orange_lettuce",13,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,37,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_corn",16,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,38,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","orange_pumpkin",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,39,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","yellow_banana",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,40,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_candle",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,41,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","green_swan",32,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,42,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_car",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,43,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_rock",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,44,"782642503715128"
1,30,"Elizabeth","n/a","graduated_college",1552332170898,1,"male","English","red_tomato",100,"Mon Mar 11 2019 12:20:35 GMT-0700 (Pacific Daylight Time)",1552332035262,2.2606,45,"782642503715128"
1,43,"Margaret",NA,"some_college",1552330839045,1,"female","English","white_swan",100,"Mon Mar 11 2019 14:57:56 GMT-0400 (Eastern Daylight Time)",1552330676555,2.70816666666667,1,"605686787536946"
1,43,"Margaret",NA,"some_college",1552330839045,1,"female","English","whitebrown_horse",100,"Mon Mar 11 2019 14:57:56 GMT-0400 (Eastern Daylight Time)",1552330676555,2.70816666666667,2,"605686787536946"
