"HitCorrect","age","botresponse","color","comments","education","endTime","enjoyment","gender","languages","refexp","startDate","startTime","timeSpent","trial_number","type","typicality_cat","anon_worker_id"
1,24,"Jennifer","orange",NA,"graduated_college",1553021864385,2,"female","spanish, english","balloon","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,1,"balloon","noncd","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","car","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,2,"car","noncd","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","flower","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,3,"flower","noncd","556529797490812"
1,24,"Jennifer","light",NA,"graduated_college",1553021864385,2,"female","spanish, english","chair","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,4,"chair","noncd","556529797490812"
1,24,"Jennifer","orange",NA,"graduated_college",1553021864385,2,"female","spanish, english","butterfly","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,5,"butterfly","noncd","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","soap","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,6,"soap","noncd","556529797490812"
1,24,"Jennifer","yellow",NA,"graduated_college",1553021864385,2,"female","spanish, english","corn","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,7,"corn","typ","556529797490812"
1,24,"Jennifer","whitebrown",NA,"graduated_college",1553021864385,2,"female","spanish, english","horse","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,8,"horse","noncd","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","pepper","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,9,"bellpepper","noncd","556529797490812"
1,24,"Jennifer","green",NA,"graduated_college",1553021864385,2,"female","spanish, english","swan","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,10,"swan","atyp","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","book","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,11,"book","noncd","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","table","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,12,"table","noncd","556529797490812"
1,24,"Jennifer","orange",NA,"graduated_college",1553021864385,2,"female","spanish, english","carrot","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,13,"carrot","typ","556529797490812"
1,24,"Jennifer","orange",NA,"graduated_college",1553021864385,2,"female","spanish, english","mug","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,14,"mug","noncd","556529797490812"
1,24,"Jennifer","yellow",NA,"graduated_college",1553021864385,2,"female","spanish, english","bike","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,15,"bike","noncd","556529797490812"
1,24,"Jennifer","white",NA,"graduated_college",1553021864385,2,"female","spanish, english","pumpkin","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,16,"pumpkin","atyp","556529797490812"
1,24,"Jennifer","orange",NA,"graduated_college",1553021864385,2,"female","spanish, english","banana","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,17,"banana","atyp","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","candle","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,18,"candle","noncd","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","rock","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,19,"rock","noncd","556529797490812"
1,24,"Jennifer","yellow",NA,"graduated_college",1553021864385,2,"female","spanish, english","lamp","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,20,"lamp","noncd","556529797490812"
1,24,"Jennifer","green",NA,"graduated_college",1553021864385,2,"female","spanish, english","toothbrush","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,21,"toothbrush","noncd","556529797490812"
1,24,"Jennifer","green",NA,"graduated_college",1553021864385,2,"female","spanish, english","brocoli","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,22,"broccoli","typ","556529797490812"
1,24,"Jennifer","white",NA,"graduated_college",1553021864385,2,"female","spanish, english","snowman","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,23,"snowman","typ","556529797490812"
1,24,"Jennifer","green",NA,"graduated_college",1553021864385,2,"female","spanish, english","scissors","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,24,"scissors","noncd","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","tomato","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,25,"tomato","typ","556529797490812"
1,24,"Jennifer","black",NA,"graduated_college",1553021864385,2,"female","spanish, english","feather","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,26,"feather","noncd","556529797490812"
1,24,"Jennifer","blue",NA,"graduated_college",1553021864385,2,"female","spanish, english","sponge","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,27,"sponge","noncd","556529797490812"
1,24,"Jennifer","red",NA,"graduated_college",1553021864385,2,"female","spanish, english","strawberry","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,28,"strawberry","typ","556529797490812"
1,24,"Jennifer","white",NA,"graduated_college",1553021864385,2,"female","spanish, english","egg","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,29,"egg","typ","556529797490812"
1,24,"Jennifer","yellow",NA,"graduated_college",1553021864385,2,"female","spanish, english","jacket","Tue Mar 19 2019 11:54:46 GMT-0700 (hora de verano del Pacífico)",1553021686912,2.95788333333333,30,"jacket","noncd","556529797490812"
