"HitCorrect","age","comments","education","endTime","enjoyment","gender","item","languages","refexp","startDate","startTime","timeSpent","trial_number","anon_worker_id"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","white_snowman","english","snowman","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,1,"100078842692566"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","yellow_lamp","english","lamp","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,2,"100078842692566"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","orange_trafficcone","english","traffic cone","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,3,"100078842692566"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","yellow_rubberduck","english","rubber duck","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,4,"100078842692566"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","red_candle","english","candle","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,5,"100078842692566"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","green_scissors","english","scissors","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,6,"100078842692566"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","pink_piggybank","english","piggy bank","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,7,"100078842692566"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","red_strawberry","english","strawberry","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,8,"100078842692566"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","red_rock","english","rock","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,9,"100078842692566"
1,36,"Thanks for letting me participate.","graduated_college",1551806694022,2,"female","white_toiletpaper","english","toilet paper","Tue Mar 05 2019 12:20:33 GMT-0500 (Eastern Standard Time)",1551806433912,4.33516666666667,10,"100078842692566"
